Address,Amount,Bonus
0xb45a2dda996c32e93b8c47098e90ed0e7ab18e39,"13,510",0%
0xd4f8d1b4f9eae929141277efbf759f077e824792,"13,480",0%
0x3bd126b812e1f9a4d4ee84fd2f5bd2dc4798e6e4,"10,824",0%
0x8a27ba3de61ec802262d12adb24cce3c375303b3,"10,784",0%
0xb2c555089c5b95cae9488123f6effa3d7af0183e,"9,040",0%
0xdd6cf6483fe5d948e0aeee94d94b8c98f055d1b0,"7,845",0%
0xbced69911c628e4609419c5cb9953ab5a484b1a2,"7,793",0%
0xffc72377835f0e6a41da6dbedf46a0e3fd22fd0e,"6,769",0%
0x8dbf15f99b1f23084f8e3b2d8d7169156b6f209d,"6,428",0%
0xeb5546bc91e065a7ddd8307dc446a6a6db3aa966,"6,215",0%
0x7b66162866067d1b0dd6537f0fac445ff7f56c86,"4,352",0%
0xd57ecb9c7ab65f1ffe4d4135c2b8df69601e5c3e,"4,000",0%
0xd9c6401c5cb1b4e6a714fa8c57de4e88a879dbbe,"3,884",0%
0xb99bb9532537c68cb7de0437775dd82307bfa329,"2,879",0%
0x69aaaff7419fd2ce58079f05ff06b2ff66d446d2,"1,647",0%
0x99a7b1572615256359c83b8310bcedbf3474cdaa,"1,374",0%
